name,committee
Adam B. Schiff,1
Adam B. Schiff,6
Adam Kinzinger,69
Adam Kinzinger,71
Adam Kinzinger,73
Adam Kinzinger,74
Adam Smith,6
Adam Smith,27
Adrian Smith,116
Adrian Smith,117
Adrian Smith,118
Adrian Smith,120
Al Franken,130
Al Franken,173
Al Franken,174
Al Franken,175
Al Franken,177
Al Franken,202
Al Franken,203
Al Franken,204
Al Franken,206
Al Franken,207
Al Franken,208
Al Franken,209
Al Franken,210
Al Franken,211
Al Green,35
Al Green,36
Al Green,37
Alan S. Lowenthal,47
Alan S. Lowenthal,48
Alan S. Lowenthal,49
Alan S. Lowenthal,76
Alan S. Lowenthal,77
Alan S. Lowenthal,78
Alan S. Lowenthal,79
Albio Sires,47
Albio Sires,49
Albio Sires,51
Albio Sires,88
Albio Sires,92
Albio Sires,93
Albio Sires,94
Alcee L. Hastings,95
Alcee L. Hastings,96
Alcee L. Hastings,123
Alexander X. Mooney,41
Alexander X. Mooney,76
Alexander X. Mooney,77
Alexander X. Mooney,80
Alma S. Adams,7
Alma S. Adams,8
Alma S. Adams,42
Alma S. Adams,44
Alma S. Adams,45
Alma S. Adams,98
Alma S. Adams,100
Ami Bera,47
Ami Bera,48
Ami Bera,52
Ami Bera,105
Ami Bera,107
Ami Bera,108
Amy Klobuchar,124
Amy Klobuchar,133
Amy Klobuchar,135
Amy Klobuchar,136
Amy Klobuchar,138
Amy Klobuchar,166
Amy Klobuchar,167
Amy Klobuchar,168
Amy Klobuchar,171
Amy Klobuchar,172
Amy Klobuchar,206
Amy Klobuchar,207
Amy Klobuchar,208
Amy Klobuchar,210
Amy Klobuchar,212
Amy Klobuchar,213
André Carson,1
André Carson,2
André Carson,4
André Carson,88
André Carson,90
André Carson,93
Andy Barr,35
Andy Barr,36
Andy Barr,38
Andy Harris,14
Andy Harris,15
Andy Harris,19
Andy Harris,21
"Angus S. King, Jr.",131
"Angus S. King, Jr.",152
"Angus S. King, Jr.",153
"Angus S. King, Jr.",156
"Angus S. King, Jr.",157
"Angus S. King, Jr.",165
"Angus S. King, Jr.",173
"Angus S. King, Jr.",174
"Angus S. King, Jr.",176
"Angus S. King, Jr.",177
"Angus S. King, Jr.",213
Ann M. Kuster,7
Ann M. Kuster,9
Ann M. Kuster,10
Ann M. Kuster,111
Ann M. Kuster,112
Ann M. Kuster,113
Ann Wagner,35
Ann Wagner,37
Ann Wagner,39
Anna G. Eshoo,69
Anna G. Eshoo,73
Aumua Amata Coleman Radewagen,76
Aumua Amata Coleman Radewagen,80
Aumua Amata Coleman Radewagen,81
Aumua Amata Coleman Radewagen,98
Aumua Amata Coleman Radewagen,102
Aumua Amata Coleman Radewagen,103
Aumua Amata Coleman Radewagen,111
Aumua Amata Coleman Radewagen,115
Austin Scott,7
Austin Scott,9
Austin Scott,11
Austin Scott,12
Austin Scott,27
Austin Scott,29
Austin Scott,30
Barbara Comstock,61
Barbara Comstock,88
Barbara Comstock,90
Barbara Comstock,92
Barbara Comstock,93
Barbara Comstock,105
Barbara Comstock,106
Barbara Comstock,109
Barbara Lee,14
Barbara Lee,17
Barbara Lee,19
Barbara Lee,22
Barbara Lee,41
Barry Loudermilk,62
Barry Loudermilk,66
Barry Loudermilk,68
Barry Loudermilk,105
Barry Loudermilk,109
Barry Loudermilk,110
Ben Ray Luján,69
Ben Ray Luján,72
Ben Ray Luján,73
Ben Sasse,124
Ben Sasse,132
Ben Sasse,133
Ben Sasse,135
Ben Sasse,137
Ben Sasse,138
Ben Sasse,159
Ben Sasse,160
Ben Sasse,161
Ben Sasse,164
Ben Sasse,198
Ben Sasse,199
Ben Sasse,200
Ben Sasse,201
Benjamin L. Cardin,123
Benjamin L. Cardin,178
Benjamin L. Cardin,179
Benjamin L. Cardin,181
Benjamin L. Cardin,182
Benjamin L. Cardin,183
Benjamin L. Cardin,185
Benjamin L. Cardin,186
Benjamin L. Cardin,190
Benjamin L. Cardin,191
Benjamin L. Cardin,192
Benjamin L. Cardin,193
Benjamin L. Cardin,194
Benjamin L. Cardin,195
Benjamin L. Cardin,196
Benjamin L. Cardin,197
Benjamin L. Cardin,214
Bennie G. Thompson,62
Bennie G. Thompson,63
Bennie G. Thompson,64
Bennie G. Thompson,65
Bennie G. Thompson,66
Bennie G. Thompson,67
Bennie G. Thompson,68
Bernard Sanders,165
Bernard Sanders,173
Bernard Sanders,174
Bernard Sanders,176
Bernard Sanders,177
Bernard Sanders,178
Bernard Sanders,179
Bernard Sanders,181
Bernard Sanders,182
Bernard Sanders,202
Bernard Sanders,203
Bernard Sanders,205
Bernard Sanders,215
Beto O'Rourke,27
Beto O'Rourke,28
Beto O'Rourke,29
Beto O'Rourke,111
Beto O'Rourke,112
Beto O'Rourke,113
Betty McCollum,14
Betty McCollum,16
Betty McCollum,18
Betty McCollum,26
Bill Cassidy,124
Bill Cassidy,139
Bill Cassidy,143
Bill Cassidy,145
Bill Cassidy,146
Bill Cassidy,147
Bill Cassidy,151
Bill Cassidy,173
Bill Cassidy,174
Bill Cassidy,175
Bill Cassidy,176
Bill Cassidy,202
Bill Cassidy,203
Bill Cassidy,204
Bill Cassidy,205
Bill Cassidy,215
Bill Flores,69
Bill Flores,70
Bill Flores,71
Bill Flores,75
Bill Foster,35
Bill Foster,39
Bill Foster,40
Bill Foster,105
Bill Foster,108
Bill Huizenga,35
Bill Huizenga,39
Bill Huizenga,40
Bill Johnson,41
Bill Johnson,69
Bill Johnson,71
Bill Johnson,73
Bill Johnson,75
Bill Nelson,132
Bill Nelson,152
Bill Nelson,153
Bill Nelson,156
Bill Nelson,158
Bill Nelson,166
Bill Nelson,167
Bill Nelson,168
Bill Nelson,169
Bill Nelson,170
Bill Nelson,171
Bill Nelson,172
Bill Nelson,183
Bill Nelson,186
Bill Nelson,187
Bill Nelson,188
Bill Pascrell Jr.,41
Bill Pascrell Jr.,116
