id,label,gender
1,Devin Nunes,M
2,K. Michael Conaway,M
3,Peter T. King,M
4,Frank A. LoBiondo,NA
5,Thomas J. Rooney,NA
6,Mike Pompeo,NA
7,Ileana Ros-Lehtinen,NA
8,Michael R. Turner,M
9,Brad R. Wenstrup,M
10,Chris Stewart,M
11,Adam B. Schiff,M
12,James A. Himes,M
13,Terri A. Sewell,F
14,André Carson,NA
15,Jackie Speier,F
16,Mike Quigley,M
17,Eric Swalwell,M
18,Joaquin Castro,M
19,Trey Gowdy,NA
20,Jim Jordan,M
21,Peter J. Roskam,NA
22,Martha Roby,F
23,Susan W. Brooks,F
24,Elijah E. Cummings,M
25,Adam Smith,M
26,Linda T. Sánchez,NA
27,Tammy Duckworth,F
28,Bob Goodlatte,NA
29,Frank D. Lucas,M
30,Steve King,M
31,Mike Rogers,M
32,Glenn Thompson,M
33,Bob Gibbs,M
34,Austin Scott,M
35,"Eric A. ""Rick"" Crawford",M
36,Scott DesJarlais,M
37,Vicky Hartzler,F
38,Jeff Denham,NA
39,Doug LaMalfa,M
40,Rodney Davis,M
41,Ted S. Yoho,M
42,Jackie Walorski,F
43,Rick W. Allen,M
44,Mike Bost,M
45,David Rouzer,M
46,Ralph Lee Abraham,M
47,John R. Moolenaar,M
48,Dan Newhouse,M
49,Trent Kelly,M
50,Collin C. Peterson,M
51,David Scott,M
52,Jim Costa,M
53,Timothy J. Walz,NA
54,Marcia L. Fudge,F
55,James P. McGovern,M
56,Suzan K. DelBene,F
57,Filemon Vela,M
58,Michelle Lujan Grisham,NA
59,Ann M. Kuster,F
60,Richard M. Nolan,NA
61,Cheri Bustos,F
62,Sean Patrick Maloney,M
63,Pete Aguilar,M
64,Stacey E. Plaskett,F
65,Alma S. Adams,F
66,Harold Rogers,M
67,Rodney P. Frelinghuysen,NA
68,Robert B. Aderholt,M
69,Kay Granger,F
70,Michael K. Simpson,M
71,John Abney Culberson,NA
72,John R. Carter,M
73,Ken Calvert,M
74,Tom Cole,M
75,Mario Diaz-Balart,M
76,Charles W. Dent,NA
77,Tom Graves,M
78,Kevin Yoder,NA
79,Steve Womack,M
80,Jeff Fortenberry,M
81,"Charles J. ""Chuck"" Fleischmann",M
82,Jaime Herrera Beutler,F
83,David P. Joyce,M
84,David G. Valadao,NA
85,Andy Harris,M
86,Mark E. Amodei,M
87,David Young,NA
88,Evan H. Jenkins,NA
89,Steven M. Palazzo,M
90,Nita M. Lowey,F
91,Marcy Kaptur,F
92,Peter J. Visclosky,M
93,José E. Serrano,NA
94,Rosa L. DeLauro,F
95,David E. Price,M
96,Lucille Roybal-Allard,F
97,Sanford D. Bishop Jr.,NA
98,Barbara Lee,F
99,Betty McCollum,F
100,Tim Ryan,M
101,C. A. Dutch Ruppersberger,M
102,Debbie Wasserman Schultz,F
103,Henry Cuellar,M
104,Chellie Pingree,F
105,Derek Kilmer,M
106,Matt Cartwright,M
107,Mac Thornberry,M
108,Walter B. Jones,M
109,Joe Wilson,M
110,Rob Bishop,M
111,Trent Franks,NA
112,Bill Shuster,NA
113,Doug Lamborn,M
114,Robert J. Wittman,M
115,Duncan Hunter,M
116,Mike Coffman,NA
117,Mo Brooks,M
118,Paul Cook,M
119,Jim Bridenstine,NA
120,Bradley Byrne,M
121,Sam Graves,M
122,Ryan K. Zinke,NA
123,Elise M. Stefanik,F
124,Martha McSally,F
125,Stephen Knight,NA
126,Thomas MacArthur,NA
127,Steve Russell,NA
128,Robert A. Brady,NA
129,Susan A. Davis,F
130,James R. Langevin,M
131,Rick Larsen,M
132,Jim Cooper,M
133,Madeleine Z. Bordallo,NA
134,Joe Courtney,M
135,Niki Tsongas,NA
136,John Garamendi,M
137,"Henry C. ""Hank"" Johnson Jr.",NA
138,Scott H. Peters,M
139,Marc A. Veasey,M
140,Tulsi Gabbard,F
141,Beto O'Rourke,NA
142,Donald Norcross,M
143,Ruben Gallego,M
144,Seth Moulton,M
145,Jeb Hensarling,NA
146,Edward R. Royce,NA
147,Patrick T. McHenry,M
148,Stevan Pearce,NA
149,Bill Posey,M
150,Blaine Luetkemeyer,M
151,Bill Huizenga,M
152,Sean P. Duffy,M
153,Steve Stivers,M
154,Mick Mulvaney,NA
155,Randy Hultgren,NA
156,Dennis A. Ross,NA
157,Robert Pittenger,NA
158,Ann Wagner,F
159,Andy Barr,M
160,Keith J. Rothfus,NA
161,Luke Messer,NA
162,David Schweikert,M
163,Scott R. Tipton,M
164,Roger Williams,M
165,Bruce Poliquin,NA
166,Mia B. Love,NA
167,J. French Hill,M
168,Tom Emmer,M
169,Maxine Waters,F
170,Carolyn B. Maloney,F
171,Nydia M. Velázquez,NA
172,Brad Sherman,M
173,Gregory W. Meeks,M
174,Michael E. Capuano,NA
175,Wm. Lacy Clay,M
176,Stephen F. Lynch,M
177,Al Green,M
178,Emanuel Cleaver,M
179,Gwen Moore,F
180,Keith Ellison,NA
181,Ed Perlmutter,M
182,Bill Foster,M
183,Daniel T. Kildee,M
184,John K. Delaney,NA
185,Kyrsten Sinema,F
186,Joyce Beatty,F
187,Denny Heck,M
188,Juan Vargas,M
189,Tom Price,NA
190,Tom McClintock,M
191,Diane Black,NA
192,Todd Rokita,NA
193,Rob Woodall,M
194,Mark Sanford,NA
195,Dave Brat,NA
196,Rod Blum,NA
197,Alexander X. Mooney,M
198,Glenn Grothman,M
199,Gary J. Palmer,M
200,Bruce Westerman,M
201,James B. Renacci,NA
202,Bill Johnson,M
203,Chris Van Hollen,M
204,John A. Yarmuth,M
205,Bill Pascrell Jr.,NA
206,Kathy Castor,F
207,Mark Pocan,M
208,Debbie Dingell,F
209,Ted Lieu,M
210,Virginia Foxx,F
211,David P. Roe,M
212,Tim Walberg,M
213,Brett Guthrie,M
214,Lou Barletta,NA
215,"Earl L. ""Buddy"" Carter",M
216,Mike Bishop,NA
217,Carlos Curbelo,NA
218,"Robert C. ""Bobby"" Scott",M
219,Raúl M. Grijalva,NA
220,Jared Polis,NA
221,Gregorio Kilili Camacho Sablan,M
222,Frederica S. Wilson,F
223,Suzanne Bonamici,F
224,Mark Takano,M
225,Hakeem S. Jeffries,M
