id,gender_bin,gender_color,type,party_bin,party_color,name,title_bin,title_color
1,0,blue,House,0,red,Devin Nunes,1,purple
2,0,blue,House,0,red,K. Michael Conaway,0,gray
3,0,blue,House,0,red,Peter T. King,0,gray
4,0,blue,House,0,red,Frank A. LoBiondo,0,gray
5,0,blue,House,0,red,Thomas J. Rooney,0,gray
6,0,blue,House,0,red,Mike Pompeo,0,gray
7,1,pink2,House,0,red,Ileana Ros-Lehtinen,0,gray
8,0,blue,House,0,red,Michael R. Turner,0,gray
9,0,blue,House,0,red,Brad R. Wenstrup,0,gray
10,0,blue,House,0,red,Chris Stewart,0,gray
11,0,blue,House,1,blue,Adam B. Schiff,1,purple
12,0,blue,House,1,blue,James A. Himes,0,gray
13,1,pink2,House,1,blue,Terri A. Sewell,0,gray
14,0,blue,House,1,blue,André Carson,0,gray
15,1,pink2,House,1,blue,Jackie Speier,0,gray
16,0,blue,House,1,blue,Mike Quigley,0,gray
17,0,blue,House,1,blue,Eric Swalwell,0,gray
18,0,blue,House,1,blue,Joaquin Castro,0,gray
19,0,blue,House,0,red,Trey Gowdy,1,purple
20,0,blue,House,0,red,Jim Jordan,0,gray
21,0,blue,House,0,red,Peter J. Roskam,0,gray
22,1,pink2,House,0,red,Martha Roby,0,gray
23,1,pink2,House,0,red,Susan W. Brooks,0,gray
24,0,blue,House,1,blue,Elijah E. Cummings,1,purple
25,0,blue,House,1,blue,Adam Smith,0,gray
26,1,pink2,House,1,blue,Linda T. Sánchez,0,gray
27,1,pink2,House,1,blue,Tammy Duckworth,0,gray
28,0,blue,House,0,red,Bob Goodlatte,0,gray
29,0,blue,House,0,red,Frank D. Lucas,0,gray
30,0,blue,House,0,red,Steve King,0,gray
31,0,blue,House,0,red,Mike Rogers,0,gray
32,0,blue,House,0,red,Glenn Thompson,0,gray
33,0,blue,House,0,red,Bob Gibbs,0,gray
34,0,blue,House,0,red,Austin Scott,0,gray
35,0,blue,House,0,red,"Eric A. ""Rick"" Crawford",0,gray
36,0,blue,House,0,red,Scott DesJarlais,0,gray
37,1,pink2,House,0,red,Vicky Hartzler,0,gray
38,0,blue,House,0,red,Jeff Denham,0,gray
39,0,blue,House,0,red,Doug LaMalfa,0,gray
40,0,blue,House,0,red,Rodney Davis,0,gray
41,0,blue,House,0,red,Ted S. Yoho,0,gray
42,1,pink2,House,0,red,Jackie Walorski,0,gray
43,0,blue,House,0,red,Rick W. Allen,0,gray
44,0,blue,House,0,red,Mike Bost,0,gray
45,0,blue,House,0,red,David Rouzer,0,gray
46,0,blue,House,0,red,Ralph Lee Abraham,0,gray
47,0,blue,House,0,red,John R. Moolenaar,0,gray
48,0,blue,House,0,red,Dan Newhouse,0,gray
49,0,blue,House,0,red,Trent Kelly,0,gray
50,0,blue,NA,1,blue,Collin C. Peterson,1,purple
51,0,blue,House,1,blue,David Scott,0,gray
52,0,blue,House,1,blue,Jim Costa,0,gray
53,0,blue,House,1,blue,Timothy J. Walz,0,gray
54,1,pink2,House,1,blue,Marcia L. Fudge,0,gray
55,0,blue,House,1,blue,James P. McGovern,0,gray
56,1,pink2,House,1,blue,Suzan K. DelBene,0,gray
57,0,blue,House,1,blue,Filemon Vela,0,gray
58,1,pink2,House,1,blue,Michelle Lujan Grisham,0,gray
59,1,pink2,House,1,blue,Ann M. Kuster,0,gray
60,0,blue,House,1,blue,Richard M. Nolan,0,gray
61,1,pink2,House,1,blue,Cheri Bustos,0,gray
62,0,blue,House,1,blue,Sean Patrick Maloney,0,gray
63,0,blue,House,1,blue,Pete Aguilar,0,gray
64,1,pink2,House,1,blue,Stacey E. Plaskett,0,gray
65,1,pink2,House,1,blue,Alma S. Adams,0,gray
66,0,blue,NA,0,red,Harold Rogers,1,purple
67,0,blue,House,0,red,Rodney P. Frelinghuysen,0,gray
68,0,blue,House,0,red,Robert B. Aderholt,0,gray
69,1,pink2,House,0,red,Kay Granger,0,gray
70,0,blue,House,0,red,Michael K. Simpson,0,gray
71,0,blue,House,0,red,John Abney Culberson,0,gray
72,0,blue,House,0,red,John R. Carter,0,gray
73,0,blue,House,0,red,Ken Calvert,0,gray
74,0,blue,House,0,red,Tom Cole,0,gray
75,0,blue,House,0,red,Mario Diaz-Balart,0,gray
76,0,blue,House,0,red,Charles W. Dent,0,gray
77,0,blue,House,0,red,Tom Graves,0,gray
78,0,blue,House,0,red,Kevin Yoder,0,gray
79,0,blue,House,0,red,Steve Womack,0,gray
80,0,blue,House,0,red,Jeff Fortenberry,0,gray
81,0,blue,House,0,red,"Charles J. ""Chuck"" Fleischmann",0,gray
82,1,pink2,House,0,red,Jaime Herrera Beutler,0,gray
83,0,blue,House,0,red,David P. Joyce,0,gray
84,0,blue,House,0,red,David G. Valadao,0,gray
85,0,blue,House,0,red,Andy Harris,0,gray
86,0,blue,House,0,red,Mark E. Amodei,0,gray
87,0,blue,House,0,red,David Young,0,gray
88,0,blue,House,0,red,Evan H. Jenkins,0,gray
89,0,blue,House,0,red,Steven M. Palazzo,0,gray
90,1,pink2,House,1,blue,Nita M. Lowey,1,purple
91,1,pink2,House,1,blue,Marcy Kaptur,0,gray
92,0,blue,House,1,blue,Peter J. Visclosky,0,gray
93,0,blue,House,1,blue,José E. Serrano,0,gray
