id,label,gender
11,Adam B. Schiff,M
297,Adam Kinzinger,M
25,Adam Smith,M
364,Adrian Smith,M
429,Al Franken,M
177,Al Green,M
252,Alan S. Lowenthal,M
244,Albio Sires,M
354,Alcee L. Hastings,M
197,Alexander X. Mooney,M
65,Alma S. Adams,F
251,Ami Bera,M
397,Amy Klobuchar,F
14,André Carson,M
159,Andy Barr,M
85,Andy Harris,M
435,"Angus S. King, Jr.",M
59,Ann M. Kuster,F
158,Ann Wagner,F
309,Anna G. Eshoo,F
329,Aumua Amata Coleman Radewagen,F
34,Austin Scott,M
272,Barbara Comstock,F
98,Barbara Lee,F
276,Barry Loudermilk,M
318,Ben Ray Luján,M
394,Ben Sasse,M
387,Benjamin L. Cardin,M
278,Bennie G. Thompson,M
474,Bernard Sanders,M
141,Beto O'Rourke,M
99,Betty McCollum,F
396,Bill Cassidy,M
302,Bill Flores,M
182,Bill Foster,M
151,Bill Huizenga,M
202,Bill Johnson,M
445,Bill Nelson,M
205,Bill Pascrell Jr.,M
149,Bill Posey,M
112,Bill Shuster,M
300,Billy Long,M
150,Blaine Luetkemeyer,M
261,Blake Farenthold,M
440,Bob Corker,M
33,Bob Gibbs,M
28,Bob Goodlatte,M
308,Bobby L. Rush,M
269,Bonnie Watson Coleman,F
9,Brad R. Wenstrup,M
172,Brad Sherman,M
120,Bradley Byrne,M
268,Brenda L. Lawrence,F
256,Brendan F. Boyle,M
213,Brett Guthrie,M
344,Brian Babin,M
247,Brian Higgins,M
419,Brian Schatz,M
165,Bruce Poliquin,M
200,Bruce Westerman,M
101,C. A. Dutch Ruppersberger,M
217,Carlos Curbelo,M
170,Carolyn B. Maloney,F
293,Cathy McMorris Rodgers,F
280,Cedric L. Richmond,M
404,Charles E. Schumer,M
81,"Charles J. ""Chuck"" Fleischmann",M
76,Charles W. Dent,M
104,Chellie Pingree,F
61,Cheri Bustos,F
305,Chris Collins,M
10,Chris Stewart,M
203,Chris Van Hollen,M
418,Christopher A. Coons,M
228,Christopher H. Smith,M
463,Christopher Murphy,M
407,Chuck Grassley,M
444,Claire McCaskill,F
50,Collin C. Peterson,M
477,Cory A. Booker,M
475,Cory Gardner,M
48,Dan Newhouse,M
229,Dana Rohrabacher,F
348,Daniel Lipinski,M
242,Daniel M. Donovan Jr.,M
467,Daniel Sullivan,M
183,Daniel T. Kildee,M
343,Daniel Webster,M
383,Danny K. Davis,M
330,Darin LaHood,M
233,Darrell E. Issa,M
195,Dave Brat,M
240,David A. Trott,M
296,David B. McKinley,M
95,David E. Price,M
362,David G. Reichert,M
84,David G. Valadao,M
321,David Loebsack,M
250,David N. Cicilline,M
83,David P. Joyce,M
211,David P. Roe,M
442,David Perdue,M
45,David Rouzer,M
162,David Schweikert,M
51,David Scott,M
87,David Young,M
441,Dean Heller,M
465,Deb Fischer,F
208,Debbie Dingell,F
410,Debbie Stabenow,F
102,Debbie Wasserman Schultz,F
156,Dennis A. Ross,M
187,Denny Heck,M
105,Derek Kilmer,M
1,Devin Nunes,M
311,Diana DeGette,F
191,Diane Black,F
416,Dianne Feinstein,F
349,Dina Titus,F
325,Don Young,M
281,Donald M. Payne Jr.,M
142,Donald Norcross,M
334,Donald S. Beyer Jr.,M
315,Doris O. Matsui,F
336,Doug Collins,M
39,Doug LaMalfa,M
113,Doug Lamborn,M
115,Duncan Hunter,M
380,Earl Blumenauer,M
215,"Earl L. ""Buddy"" Carter",M
181,Ed Perlmutter,M
347,Eddie Bernice Johnson,F
476,Edward J. Markey,M
146,Edward R. Royce,M
267,Eleanor Holmes Norton,F
24,Elijah E. Cummings,M
243,Eliot L. Engel,M
123,Elise M. Stefanik,F
350,Elizabeth H. Esty,F
449,Elizabeth Warren,F
178,Emanuel Cleaver,M
35,"Eric A. ""Rick"" Crawford",M
17,Eric Swalwell,M
366,Erik Paulsen,M
